"","original","bias","std. error","min. c.i.","max. c.i.","rank","param","tree","table"
"1",0.328908324598233,0.00675531423929054,0.0568990756224431,0.176062300569389,0.408907219650644,"T","epc.alloc_stemc_leafc","dec","LAI"
"2",0.186246447873797,-0.0118276744923087,0.118592865479926,-0.0501624793536542,0.462472920811431,"S","epc.alloc_stemc_leafc","dec","LAI"
"3",0.110540372465107,0.000763425644877219,0.0321473252587781,0.034775615797315,0.168225214052489,"T","epc.branch_turnover","dec","LAI"
"4",0.00535018909616015,-0.0159011237314847,0.150940764054634,-0.266486388269129,0.357555783702875,"S","epc.branch_turnover","dec","LAI"
"5",0.131034746814269,0.00149225769285397,0.0287238049646132,0.0697090035549272,0.181344746225608,"T","epc.leaf_turnover","dec","LAI"
"6",0.0857261856950959,-0.0088678018124427,0.158994824111405,-0.155139109859455,0.424894408630043,"S","epc.leaf_turnover","dec","LAI"
"7",0.171087497078919,0.00622854652911672,0.0375906487391101,0.0941496111790405,0.233588536041828,"T","epc.proj_sla","dec","LAI"
"8",-0.0172639563746215,-0.00240953089201797,0.171808003385225,-0.294442323217428,0.354473063297211,"S","epc.proj_sla","dec","LAI"
"9",0.187172587277175,0.00563390699546451,0.0302556881765194,0.122727785445503,0.233907013843501,"T","epc.storage_transfer_prop","dec","LAI"
"10",-0.0411007441393639,-0.00668511912314388,0.178168511865771,-0.334638834063054,0.327046924992249,"S","epc.storage_transfer_prop","dec","LAI"
"11",0.215848588720928,0.00626848123503038,0.0428528778419765,0.112431773076424,0.287986710000679,"T","epc.waring_pa","dec","LAI"
"12",-0.116257539113381,-0.0146005238754781,0.177066309340942,-0.342888914462927,0.349791795932684,"S","epc.waring_pa","dec","LAI"
"13",0.253957764301724,0.00571308904418794,0.037801617316859,0.164429834856753,0.322611671980599,"T","epc.waring_pb","dec","LAI"
"14",0.152391897400313,-0.010633080705862,0.150948058178905,-0.0951101117613413,0.489010556808955,"S","epc.waring_pb","dec","LAI"
"15",0.175907353844389,0.0034292756160956,0.0362251312149859,0.0952171425135587,0.24444297781698,"T","psi_air_entry","dec","LAI"
"16",-0.0190735419402364,-0.01073735157171,0.17152677443779,-0.308953568173608,0.394245826494753,"S","psi_air_entry","dec","LAI"
"17",0.0145465025114676,0.000121998500442588,0.00336491123955312,0.00675785347237389,0.0202780838867981,"T","epc.alloc_stemc_leafc","evg","LAI"
"18",0.0394804194160975,-0.0129856354987405,0.11401156598522,-0.129257868700618,0.304913342477387,"S","epc.alloc_stemc_leafc","evg","LAI"
"19",0.0226944288668037,0.00016073517256782,0.00348995959482008,0.0148257648696099,0.0284165179588875,"T","epc.branch_turnover","evg","LAI"
"20",0.0798793768220112,-0.0152416118959816,0.104076435590645,-0.0836743388241185,0.312427348556762,"S","epc.branch_turnover","evg","LAI"
"21",0.736974487790218,0.019170184867956,0.103950721645439,0.45301994655593,0.895308855604782,"T","epc.leaf_turnover","evg","LAI"
"22",0.759884639210745,-0.000484155236449069,0.0434350903375616,0.693457868300885,0.878311194536014,"S","epc.leaf_turnover","evg","LAI"
"23",0.091304530878572,0.00230561026050667,0.0165897477398845,0.0424399409915949,0.116458589350846,"T","epc.proj_sla","evg","LAI"
"24",0.192012836957771,-0.0121618299449355,0.0992922992933552,0.0262480831344307,0.423141177656087,"S","epc.proj_sla","evg","LAI"
"25",0.0167521340697963,0.00043620045633919,0.00281200006078565,0.010160219240601,0.021061602062897,"T","epc.storage_transfer_prop","evg","LAI"
"26",0.0999378375487328,-0.0116978885038226,0.111495337737771,-0.0832233527356384,0.34356491927704,"S","epc.storage_transfer_prop","evg","LAI"
"27",0.0609279104507192,0.000671516132823867,0.00884968098505357,0.039538566736477,0.0742187810572585,"T","epc.waring_pa","evg","LAI"
"28",0.0990522947834242,-0.0102308114290119,0.106615928033312,-0.0745984409271952,0.312469553294158,"S","epc.waring_pa","evg","LAI"
"29",0.0183536376090101,0.000109600325337175,0.00308861048823682,0.00913237732383412,0.0232440888487425,"T","epc.waring_pb","evg","LAI"
"30",0.100556275630578,-0.0130663187753051,0.109474289864349,-0.0939531319951996,0.354510339519265,"S","epc.waring_pb","evg","LAI"
"31",0.0113316684072856,0.00028832303982926,0.00340233633377119,0.00217368659730163,0.0162729324231442,"T","psi_air_entry","evg","LAI"
"32",0.0681057596536214,-0.0143466848446439,0.112129218359943,-0.108708359990001,0.307275783881764,"S","psi_air_entry","evg","LAI"
"33",0.612335712059792,-0.00576730435406436,0.0959703026097364,0.377610703955495,0.805986233664054,"T","epc.alloc_stemc_leafc","dec","resil"
"34",0.143864781107697,-0.0119578981941061,0.142054059592205,-0.0963406306291274,0.43324125191286,"S","epc.alloc_stemc_leafc","dec","resil"
"35",0.576668464348053,0.00170958254606768,0.106767899564034,0.308938658993425,0.749756443791126,"T","epc.branch_turnover","dec","resil"
"36",0.00254488018291725,-0.0154252915694532,0.165653239258517,-0.269309808240915,0.401519525624704,"S","epc.branch_turnover","dec","resil"
"37",0.49033437093288,0.000831290239274529,0.134346697994023,0.0740650534794944,0.693513328275164,"T","epc.froot_turnover","dec","resil"
"38",-0.12078784236204,-0.0170424958519915,0.191902239393769,-0.460653225902623,0.340718889379967,"S","epc.froot_turnover","dec","resil"
"39",0.393019977221643,-0.00602795618961205,0.0952631617539289,0.179005372587049,0.574418034408184,"T","epc.netpabs_sunlit","dec","resil"
"40",0.0732583330225534,-0.0118929412936326,0.144911899545058,-0.237041548482829,0.422321513594715,"S","epc.netpabs_sunlit","dec","resil"
"41",0.566483779059825,0.0106777348931266,0.11944609886293,0.305061714306486,0.784228793347813,"T","epc.root_distrib_parm","dec","resil"
"42",0.0308166093807785,-0.0135388220631085,0.153262123928646,-0.228411019004892,0.378256958010097,"S","epc.root_distrib_parm","dec","resil"
"43",0.529000317509096,-0.0081983900780247,0.114742001999498,0.285050062160355,0.746769370449475,"T","epc.vpd_close","dec","resil"
"44",-0.114150801757312,-0.0025282174725562,0.186434483269751,-0.466370220639438,0.301875800206053,"S","epc.vpd_close","dec","resil"
"45",0.693726578365529,0.00786411627880901,0.144745780778837,0.384554403692545,0.986887601522146,"T","psi_air_entry","dec","resil"
"46",-0.0774263734233066,-0.00124563446835065,0.202677043949782,-0.473814759159477,0.432615736810384,"S","psi_air_entry","dec","resil"
"47",0.109063236417752,0.00272553950654102,0.0256988265887829,0.051244562637893,0.151273629512445,"T","epc.alloc_stemc_leafc","evg","resil"
"48",0.0237351834671015,-0.0270747777874184,0.131770519995136,-0.190696498648485,0.329096933509917,"S","epc.alloc_stemc_leafc","evg","resil"
"49",0.395779039006996,0.00139796897026717,0.0682290478609591,0.252009165425778,0.530043943439805,"T","epc.branch_turnover","evg","resil"
"50",0.207974562249673,-0.041610881659575,0.147542407622507,0.0241900991737158,0.618585053708901,"S","epc.branch_turnover","evg","resil"
"51",0.256290734967855,0.0103359981798948,0.0543616150588142,0.139454867477457,0.346642321436246,"T","epc.froot_turnover","evg","resil"
"52",0.131214948513146,-0.0329385550496853,0.134715366303441,-0.0369437644439716,0.486375158543023,"S","epc.froot_turnover","evg","resil"
"53",0.261402024352266,0.00485622063088753,0.0703510170565483,0.0620048948729655,0.381724795008908,"T","epc.netpabs_sunlit","evg","resil"
"54",0.151481808288737,-0.0401184862351786,0.13664269093904,-0.0532006436894997,0.494315352538702,"S","epc.netpabs_sunlit","evg","resil"
"55",0.412333127765579,0.0222240427145977,0.0880470274124935,0.213493145555354,0.540089615403124,"T","epc.root_distrib_parm","evg","resil"
"56",0.144902359301361,-0.0364853229666033,0.134319619319266,-0.0519533813184329,0.481644174039507,"S","epc.root_distrib_parm","evg","resil"
"57",0.121086819871901,0.00637338885000691,0.0387184748513035,0.0221666645283433,0.175261683962344,"T","epc.vpd_close","evg","resil"
"58",0.0914315277867457,-0.0374232073060913,0.138371661930811,-0.0944706946100412,0.482093491148134,"S","epc.vpd_close","evg","resil"
"59",0.432926499739308,0.00892005360046927,0.095973519628722,0.213399235367443,0.586626235130559,"T","psi_air_entry","evg","resil"
"60",0.119934891503317,-0.0287980967159793,0.150969830360656,-0.102440440472516,0.48131402108917,"S","psi_air_entry","evg","resil"
