,wy,start year,model,p,tmin,tmax,climmod,p_anom,t_anom,t.5,p.5,drttype,tempdiff,wetdry,t_diff,p_diff,num
1,2045,2043,HadGEM2-ES_rcp85,476.8526281,10.98377385,22.10135548,HadGEM2-ES_rcp85,0.056308812,0.023348453,0.010009591,-0.168730844,NA,cool,wet,0.003628295,0.017073778,1
2,2061,2059,MIROC5_rcp85,227.0138033,10.31637088,22.07593225,MIROC5_rcp85,-0.497126226,0.001918807,0.035697576,-0.133341931,NA,cool,dry,0.02931628,0.018315135,2
3,2027,2025,HadGEM2-ES_rcp85,504.6347379,10.20923872,21.84251057,HadGEM2-ES_rcp85,0.11785086,-0.008614785,-0.010766106,-0.133107153,wetcool,cool,wet,0.017147402,0.018549913,3
4,2098,2096,MIROC5_rcp85,458.8577171,12.00150397,23.7532153,MIROC5_rcp85,0.016447056,0.10592092,0.133870663,-0.135115763,wethot,hot,wet,0.021878421,0.007522565,4
5,2066,2064,HadGEM2-ES_rcp85,266.9154457,12.46018668,23.70692707,HadGEM2-ES_rcp85,-0.408737374,0.118676598,0.127153296,-0.133782113,NA,hot,wet,0.015161054,0.008856215,5
6,2085,2083,MIROC5_rcp85,273.466891,11.98141488,24.23167624,MIROC5_rcp85,-0.39422482,0.120098713,0.108514236,-0.163435015,NA,hot,wet,0.003478007,0.020796687,6
7,2062,2060,HadGEM2-ES_rcp85,407.6433132,12.07131348,24.14424196,HadGEM2-ES_rcp85,-0.097001467,0.120174936,0.087731884,-0.446808984,same,hot,wet,NA,NA,7
8,2051,2049,MIROC5_rcp85,198.9965639,10.17813796,22.74350435,MIROC5_rcp85,-0.559189126,0.018291674,0.019987742,-0.467816971,same,cool,dry,NA,NA,8
9,2096,2094,CanESM2_rcp85,262.1662524,12.77227425,26.26090203,CanESM2_rcp85,-0.419257636,0.207326112,0.206321228,-0.084065746,wethot,hot,wet,NA,NA,9
10,2067,2065,HadGEM2-ES_rcp85,174.5848836,11.85861892,24.11821348,HadGEM2-ES_rcp85,-0.613265105,0.112791049,0.134879059,-0.038391299,wethot,hot,dry,NA,NA,10
11,2094,2092,HadGEM2-ES_rcp85,362.6593311,13.26254523,25.67124291,HadGEM2-ES_rcp85,-0.196648557,0.204251961,0.186636387,-0.031938723,wethot,hot,wet,NA,NA,11
12,2098,2096,MIROC5_rcp85,458.8577171,12.00150397,23.7532153,MIROC5_rcp85,0.016447056,0.10592092,0.133870663,-0.135115763,wethot,hot,wet,NA,NA,12